electrode,j,T,V_rev,eta_act,eta_ohm,eta_conc,V_cell,model_act,j0_T,r_total,j_lim,electrode_label
Ni-HER,0.333265306122449,333.0,1.25943737599895,0.051926146159551954,0.019527248404937237,0.0007389873285751149,1.331629757892014,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.353469387755102,333.0,1.25943737599895,0.05361511872296253,0.020711080365799932,0.0007850357680437597,1.334548610855756,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.37367346938775514,333.0,1.25943737599895,0.05521018337840734,0.021894912326662637,0.0008312324726897155,1.3373737041767098,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.39387755102040817,333.0,1.25943737599895,0.056721235049174014,0.02307874428752533,0.0008775784003560552,1.3401149337360052,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.41408163265306125,333.0,1.25943737599895,0.05815668270115214,0.02426257624838803,0.0009240745181979186,1.3427807094666881,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.4342857142857143,333.0,1.25943737599895,0.059523732748020225,0.025446408209250728,0.0009707218028036191,1.3453782387590245,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.45448979591836736,333.0,1.25943737599895,0.06082860795564583,0.026630240170113426,0.0010175212403177177,1.347913745365027,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.4746938775510204,333.0,1.25943737599895,0.06207671869725488,0.027814072130976124,0.0010644738265661185,1.350392640653747,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.49489795918367346,333.0,1.25943737599895,0.0632727984881085,0.028997904091838823,0.001111580567183201,1.3528196591460806,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.5151020408163265,333.0,1.25943737599895,0.06442101238351168,0.030181736052701517,0.0011588424777410654,1.355198966912904,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.5353061224489796,333.0,1.25943737599895,0.06552504450983777,0.031365568013564216,0.0012062605838809013,1.357534249106233,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.5555102040816327,333.0,1.25943737599895,0.06658816937075004,0.03254939997442692,0.0012538359214465447,1.3598287812655732,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.5757142857142857,333.0,1.25943737599895,0.06761331040890844,0.03373323193528962,0.001301569536620242,1.3620854878797684,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.5959183673469388,333.0,1.25943737599895,0.06860308846247043,0.03491706389615232,0.001349462486060693,1.3643069908436332,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.6161224489795918,333.0,1.25943737599895,0.06955986213923171,0.03610089585701501,0.0013975158370433994,1.36649564983224,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.636326530612245,333.0,1.25943737599895,0.07048576167404665,0.037284727817877714,0.0014457306676033783,1.3686535961584776,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.656530612244898,333.0,1.25943737599895,0.07138271749237832,0.03846855977874041,0.0014941080666802668,1.370782761336749,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.676734693877551,333.0,1.25943737599895,0.07225248444321772,0.03965239173960311,0.0015426491342658984,1.3728849013160367,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.696938775510204,333.0,1.25943737599895,0.07309666246613926,0.0408362237004658,0.0015913549815543709,1.3749616171471093,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.7171428571428571,333.0,1.25943737599895,0.07391671430419149,0.0420200556613285,0.001640226731094685,1.3770143726955646,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.7373469387755103,333.0,1.25943737599895,0.07471398075529599,0.043203887622191205,0.001689265516945971,1.379044509893383,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.7575510204081634,333.0,1.25943737599895,0.07548969386155505,0.04438771958305391,0.001738472484835394,1.3810532619283944,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
Ni-HER,0.7777551020408163,333.0,1.25943737599895,0.07624498836224865,0.0455715515439166,0.001787848792318772,1.383041764697434,tafel,0.05456516264703203,0.05859370311340628,6.638598726708614,A
